mTurkCode,suspectedBot,catch_2
5333538,1,"crime is an unlawful act punishable by a state or other authority.The term ""crime"" does not, in modern criminal law, have any simple and universally accepted definition,though statutory definitions have been provided for certain purposes.The most popular view is that crime is a category created by law; in other words, something is a crime if declared as such by the relevant and applicable law."
7399842,0,an action that is immoral and endangers others
5191998,0,A crime is an illegal action and doing some illegal activity for which any kind of people can be punished by law. 
9194161,0,Crime is an act that is against the law and causes harm to another innocent being.
1693456,0,Crime is performing an act (or not performing an act) that places you in violation of a law.
922280,0,A crime is when someone breaks the law.
3413393,0,A crime is an act where someone does something that is against the law.
5005226,1,I HATE THIS WORD
3522290,0,An action of which breaks the law
5189580,0,something very serious that one person performs against another causing serious damage to death
1890713,1,"One proposed definition is that a crime or offence or criminal offence is an act harmful not only to some individual but also to a community, society or the state ""a public wrong"". Such acts are forbidden and punishable by law."
2722608,0,Crime is an illegal activity and may harmful to human.
2019041,0,Any action that is against the law
366518,1,"Criminal Law, as distinguished from civil law, is a system of laws concerned with punishment of individuals who commit crimes"
6538514,0,"To me, a crime is an action committed against an individual(s) , be it a physical attack or an attack on ones property/business/money/ etc.  In Other words, anything that causes real damage in some way to a person , business , etc.  "
3627550,0,something that is committed that is against the law to do so. 
1256952,0,doing something that has a negative impact on people
7570827,1,"One proposed definition is that a crime or offence is an act harmful not only to some individual but also to a community, society or the state."
7738528,0,Crime is an act that causes a lot of harm to the victim.
4640609,1," A crime is an unlawful act punishable by a state or other authority. The crime does not, in modern criminal law, have any simple and universally"
4235051,1,"Crime is a most unlike with me.When informal relationships and sanctions prove insufficient to establish and maintain a desired social order, a government or a state may impose more formalized or stricter systems of social control. "
1705731,0,crime is offense and it spoils the society 
7576030,0,An action that is considered wrong or harmful by the law.
9517672,1,"A crime is an unlawful as act punishable by a state or other authority. The term ""crime"" does not, in modern criminal law, have any  the simple and universally accepted definition, though statutory definitions have been provided for certain purposes was wrong on crime "
8362545,1,Yeah extremly is great efforts on this training in this performance of that good quality
2496289,0,A crime is any action that breaks the law
4543582,0,Any action that violates the law
974294,0,In my opinion Crime is something that is a action committed by someone that has a negative effect on those around them.
